Rank,Name,Genre,Platform,Publisher,Developer_x,Year,Total_Sales
4958,Magic: The Gathering - Duels of the Planeswalkers 2013,Strategy,PC,Unknown,Stainless Games,2010.0,0.45
4959,The Sims 3: Ambitions,Simulation,PC,Electronic Arts,EA Redwood Shores,2010.0,0.45
4960,Ghostbusters,Action,2600,Activision,Atari,1985.0,0.45
4961,NHL 15,Sports,X360,EA Sports,EA Canada,2014.0,0.45
4962,NCAA Gamebreaker 99,Sports,PS,989 Studios,989 Sports,1998.0,0.45
4963,Area 51,Shooter,PS2,Midway Games,Midway Studios Austin,2005.0,0.45
4964,Barbie as The Island Princess,Adventure,Wii,Activision,Human Soft / Ivolgamus,2007.0,0.45
4965,World Stadium 2,Sports,PS,Namco,Namco,1998.0,0.45
4966,Enemy Territory: Quake Wars,Shooter,X360,Activision,Nerve Software,2008.0,0.45
4967,The New York Times Crosswords,Puzzle,DS,Majesco,BudCat Creations,2007.0,0.45
4968,NHL 2005,Sports,PS2,EA Sports,EA Canada,2004.0,0.45
4969,Dynasty Warriors: Strikeforce,Action,PSP,Tecmo Koei,Omega Force,2009.0,0.45
4970,Karaoke Revolution Presents American Idol Encore,Misc,Wii,Konami,Blitz Games,2008.0,0.45
4971,Brain Challenge,Misc,DS,Ubisoft,Gameloft,2008.0,0.45
4972,Star Wars Jedi Knight: Jedi Academy,Shooter,XB,LucasArts,Vicarious Visions,2003.0,0.45
4973,Major League Baseball 2K11,Sports,X360,2K Sports,Visual Concepts,2011.0,0.45
4974,Phoenix,Shooter,2600,Atari,Centuri,1982.0,0.45
4975,CastleMiner Z,Action-Adventure,PC,Unknown,Digital DNA Games,1982.0,0.45
4976,Cities in Motion 2,Simulation,PC,Unknown,Colossal Order,1982.0,0.45
4977,Lego Batman 3: Beyond Gotham,Action,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,2014.0,0.45
4978,Command & Conquer: Red Alert 3,Strategy,X360,Bethesda Softworks,EA Los Angeles,2008.0,0.45
4979,F.E.A.R. 3,Shooter,PS3,Warner Bros. Interactive,Day 1 Studios,2011.0,0.45
4980,Crash of the Titans,Action,Wii,Sierra Entertainment,Radical Entertainment,2007.0,0.45
4981,Terraria,Action-Adventure,PS3,505 Games,Engine Software,2013.0,0.45
4982,Apocalypse,Action,PS,Activision,Neversoft Entertainment,1998.0,0.45
4983,Fable Anniversary,Role-Playing,X360,Microsoft Studios,Lionhead Studios,2014.0,0.45
4984,Yu-Gi-Oh! Destiny Board Traveler,Misc,GBA,Konami,KCEJ,2004.0,0.45
4985,My Fashion Studio,Misc,DS,Ubisoft,505 Games,2008.0,0.45
4986,L.A. Noire,Adventure,NS,Rockstar Games,Team Bondi,2017.0,0.45
4987,The Sims 3: Outdoor Living Stuff,Simulation,PC,Electronic Arts,EA Redwood Shores,2011.0,0.45
4988,Yakuza Kiwami,Adventure,PS4,Sega,Sega,2017.0,0.45
4989,World Soccer Winning Eleven 5 Final Evolution,Sports,PS2,Konami,Konami,2001.0,0.45
4990,Sphinx and the Cursed Mummy,Adventure,PS2,THQ,Eurocom Entertainment Software,2003.0,0.45
4991,Fatal Fury 2,Fighting,SNES,Takara,SNK Corporation,1994.0,0.45
4992,Pokemon Pinball: Ruby & Sapphire (JP weekly sales),Misc,GBA,Nintendo,Jupiter Corporation,2003.0,0.45
4993,Pokemon Puzzle League,Puzzle,N64,Nintendo,Nintendo Software Technology Corporation,2000.0,0.45
4994,Rampage World Tour,Action,N64,Midway Games,Saffire Corporation,1998.0,0.45
4995,PES 2009: Pro Evolution Soccer,Sports,Wii,Konami,Konami,2009.0,0.45
4996,Just Dance 4,Music,PS3,Ubisoft,Ubisoft,2012.0,0.45
4997,Pirates of the Caribbean: At World's End,Action,Wii,Disney Interactive Studios,Eurocom Entertainment Software,2007.0,0.45
4998,Brunswick Pro Bowling,Sports,X360,Crave Entertainment,FarSight Studios,2010.0,0.45
4999,Style Savvy: Styling Star,Simulation,3DS,Nintendo,syn Sophia,2017.0,0.45
5000,Tekken Advance,Fighting,GBA,Namco,Eighting / Raizing,2002.0,0.45
5001,Shin Megami Tensei: Persona 3,Role-Playing,PS2,Atlus,Atlus Co.,2007.0,0.45
5002,LEGO Rock Band,Misc,DS,Warner Bros. Interactive,TT Games / Harmonix Music Systems,2009.0,0.45
5003,Persona,Role-Playing,PS,Atlus,Atlus Co.,1996.0,0.45
5004,Sega Rally Revo,Racing,X360,Sega,Sega Racing Studio,2007.0,0.45
5005,Hot Wheels: Stunt Track Challenge,Racing,GBA,THQ,Climax Group,2004.0,0.45
5006,TNA iMPACT!,Fighting,X360,Midway Games,Midway Studios Los Angeles,2008.0,0.45
5007,Maze Craze: A Game of Cops 'n Robbers,Action,2600,Atari,Atari,1978.0,0.45
5008,Prey (2017),Shooter,XOne,Bethesda Softworks,Arkane Studios,2017.0,0.45
5009,Mobile Suit Gundam,Action,PS,Bandai,Bandai,1995.0,0.45
5010,Bee Movie Game,Action,DS,Activision,Vicarious Visions,2007.0,0.45
5011,"Warhammer 40,000: Space Marine",Shooter,PS3,THQ,Relic Entertainment,2011.0,0.45
5012,SingStar Take That,Misc,PS2,Sony Computer Entertainment,SCEE London Studio,2009.0,0.45
5013,Kane & Lynch 2: Dog Days,Shooter,PC,Square Enix,IO Interactive,2010.0,0.45
5014,Final Fantasy Collection,Role-Playing,PS,Square,TOSE,1999.0,0.45
5015,Disney Sing It! High School Musical 3: Senior Year,Misc,PS2,Disney Interactive Studios,Zoe Mode,2009.0,0.45
5016,Tales of Zestiria,Role-Playing,PS4,Namco Bandai Games,Namco Bandai Games,2015.0,0.45
5017,Samurai Warriors: Xtreme Legends,Action,PS2,KOEI,Omega Force,2004.0,0.45
5018,NHL FaceOff,Sports,PS,Sony Computer Entertainment,Sony Computer Entertainment America,1995.0,0.45
5019,WWE WrestleMania 21,Fighting,XB,THQ,Studio Gigante,2005.0,0.45
5020,Skylanders: Trap Team,Platform,XOne,Activision,Toys for Bob,2014.0,0.45
5021,NBA Live 2005,Sports,GC,EA Sports,EA Canada,2004.0,0.45
5022,Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,X360,Namco Bandai Games,CyberConnect2,2012.0,0.45
5023,Disney Guilty Party,Misc,Wii,Disney Interactive Studios,Wideload Games,2010.0,0.45
5024,NBA Live 10,Sports,X360,EA Sports,EA Canada,2009.0,0.45
5025,Harry Potter and the Deathly Hallows - Part 1,Action,X360,Electronic Arts,EA Bright Light,2010.0,0.45
5026,Defender II,Shooter,2600,Atari,"Williams Electronic Games, Inc.",1988.0,0.45
5027,F.E.A.R. 3,Shooter,X360,Warner Bros. Interactive,Day 1 Studios,2011.0,0.45
5028,WWE Day of Reckoning,Fighting,GC,THQ,Yuke's Future Media Creators,2004.0,0.45
5029,Worms: Open Warfare 2,Strategy,PSP,THQ,Team17 Software / Two Tribes,2007.0,0.45
5030,ATV Quad Power Racing 2,Racing,XB,Acclaim Entertainment,Climax Entertainment,2003.0,0.45
5031,Walt Disney World Quest: Magical Racing Tour,Racing,PS,Eidos Interactive,Crystal Dynamics,2000.0,0.45
5032,Skylanders Imaginators,Platform,WiiU,Activision,Toys for Bob,2016.0,0.45
5033,Sled Storm,Racing,PS2,EA Sports BIG,EA Canada,2002.0,0.45
5034,Unepic,Misc,PC,Unknown,@unepic_fran,2011.0,0.45
5035,Vandal Hearts,Role-Playing,PS,Konami,Konami Computer Entertainment Tokyo,1997.0,0.45
5036,Virtua Tennis 4,Sports,PS3,Sega,Sega-AM2,2011.0,0.45
5037,ibb and obb,Misc,PC,Zen Studios,Unknown,2014.0,0.45
5038,Jawbreaker,Action,2600,Tigervision,Tigervision,1982.0,0.45
5039,DmC Devil May Cry,Action,X360,Capcom,Ninja Theory,2013.0,0.45
5040,Celebrity Sports Showdown,Sports,Wii,Electronic Arts,Electronic Arts,2008.0,0.45
5041,Scooby-Doo! Mystery Mayhem,Adventure,PS2,THQ,Artificial Mind and Movement,2004.0,0.45
5042,Mario Golf: Advance Tour,Sports,GBA,Nintendo,Camelot Software Planning,2004.0,0.45
5043,Star Ocean 5: Integrity and Faithlessness,Role-Playing,PS4,Square Enix,tri-Ace,2016.0,0.45
5044,Sid Meier's Civilization Revolution,Strategy,DS,2K Games,Firaxis,2008.0,0.45
5045,Silent Hill: Homecoming,Action,X360,Konami,Double Helix Games,2008.0,0.45
5046,Discovery Kids: Kitten Corner,Simulation,DS,505 Games,505 Games,2009.0,0.45
5047,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Shooter,PSP,Sony Computer Entertainment,Slant Six Games,2010.0,0.45
5048,Rock Band Country Track Pack,Misc,Wii,MTV Games,Harmonix Music Systems,2009.0,0.44
5049,Transformers: Dark of the Moon - Autobots/Decepticons,Action,DS,Activision,Behaviour Interactive Inc.,2011.0,0.44
5050,Yu-Gi-Oh! Capsule Monster Coliseum,Misc,PS2,Konami,Konami,2004.0,0.44
5051,Dragon Ball FighterZ,Fighting,PC,Namco Bandai Games,Arc System Works,2018.0,0.44
5052,Major League Baseball 2K6,Sports,PS2,2K Sports,Kush Games,2006.0,0.44
5053,Jampack Volume 13 (RP-M),Misc,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,2005.0,0.44
5054,World Soccer Winning Eleven 9,Sports,XB,Konami,Konami Computer Entertainment Tokyo,2006.0,0.44
5055,NBA Live 2000,Sports,N64,EA Sports,NuFX,1999.0,0.44
5056,"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,PS2,THQ,THQ Australia Studios Pty Ltd.,2005.0,0.44
5057,Teenage Mutant Ninja Turtles 2: Battle Nexus,Action,PS2,Konami,Konami,2004.0,0.44
5058,Ninja Gaiden 3,Action,PS3,Tecmo Koei,Team Ninja,2012.0,0.44
5059,The Thing,Adventure,PS2,VU Games,Computer Artworks,2002.0,0.44
5060,Shin Megami Tensei: Devil Survivor Overclocked,Role-Playing,3DS,Atlus,Career Soft,2011.0,0.44
5061,Van Helsing,Action,PS2,VU Games,Saffire Corporation,2004.0,0.44
5062,X-Men Legends II: Rise of Apocalypse,Role-Playing,XB,Activision,Raven Software,2005.0,0.44
5063,Transformers: Fall of Cybertron,Action,X360,Activision,High Moon Studios,2012.0,0.44
5064,Sonic & Sega All-Stars Racing Transformed,Racing,PSV,Sega,Sumo Digital,2012.0,0.44
5065,Transformers: Revenge of the Fallen -- Autobots,Action,DS,Activision,Vicarious Visions,2009.0,0.44
5066,Deadpool,Action,X360,Activision,High Moon Studios,2013.0,0.44
5067,Spawn: Armageddon,Action,PS2,Namco,Point of View,2003.0,0.44
5068,Lego Batman 3: Beyond Gotham,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,2014.0,0.44
5069,The Godfather (US sales),Action,XB,Electronic Arts,Headgate,2006.0,0.44
5070,World Stadium EX,Sports,PS,Namco,Namco,1996.0,0.44
5071,Tiger Woods PGA Tour 2003,Sports,XB,EA Sports,EA Redwood Shores,2002.0,0.44
5072,Tony Hawk's Proving Ground,Sports,PS3,Activision,Neversoft Entertainment,2007.0,0.44
5073,Battlefield 2: Modern Combat,Shooter,PS2,Electronic Arts,Digital Illusions,2005.0,0.44
5074,Sleeping Dogs: Definitive Edition,Action,PS4,Square Enix,United Front Games,2014.0,0.44
5075,Petz: Catz 2,Simulation,Wii,Ubisoft,Yuke's Media Creations,2007.0,0.44
5076,50 Cent: Bulletproof,Action,XB,Vivendi Games,Genuine Games,2005.0,0.44
5077,Densetsu no Stafi 2,Platform,GBA,Nintendo,TOSE,2003.0,0.44
5078,Dance Dance Revolution: Hottest Party 3,Simulation,Wii,Konami,Bemani,2009.0,0.44
5079,Independence Day,Shooter,PS,Fox Interactive,Radical Entertainment,1997.0,0.44
5080,Skylanders SWAP Force,Misc,PS4,Activision,Unknown,2013.0,0.44
5081,Hey! Pikmin,Platform,3DS,Nintendo,Arzest,2017.0,0.44
5082,Chocobo Racing,Racing,PS,Square EA,SquareSoft,1999.0,0.44
5083,LEGO Star Wars II: The Original Trilogy,Action,XB,LucasArts,Traveller's Tales,2006.0,0.44
5084,Viking: Battle for Asgard,Action,X360,Sega,The Creative Assembly,2008.0,0.44
5085,Metal Gear Solid HD Collection,Action,PSV,Konami Digital Entertainment,Kojima Productions,2012.0,0.44
5086,Dragon Quest Heroes: Rocket Slime,Adventure,DS,Square Enix,TOSE Software,2006.0,0.44
5087,EA Sports UFC 3,Sports,XOne,EA Sports,EA Vancouver,2018.0,0.44
5088,Gundam SEED: Federation vs. Z.A.F.T.,Shooter,PS2,Bandai,Capcom,2005.0,0.44
5089,The Legend of Spyro: Dawn of the Dragon,Platform,PS3,Vivendi Games,Etranges Libellules,2008.0,0.44
5090,Family Fest Presents Circus Games,Misc,Wii,Ubisoft,Kuju Entertainment,2008.0,0.44
5091,Ms. Pac-Man Maze Madness,Puzzle,PS,Namco,Namco,2000.0,0.44
5092,Pro Evolution Soccer 2016,Sports,PS3,Konami Digital Entertainment,PES Productions,2015.0,0.44
5093,Blood Omen: Legacy of Kain,Role-Playing,PS,Crystal Dynamics,Silicon Knights,1996.0,0.44
5094,The Urbz: Sims in the City (all regions sales),Simulation,DS,Electronic Arts,Griptonite Games,2004.0,0.44
5095,Super Bomberman 4,Puzzle,SNES,Hudson Soft,Produce!,1996.0,0.44
5096,G-Force,Action,Wii,Disney Interactive Studios,Eurocom Entertainment Software,2009.0,0.44
5097,Star Fox: Zero,Shooter,WiiU,Nintendo,Nintendo EPD,2016.0,0.44
5098,Bomberman II,Puzzle,NES,Hudson Soft,Hudson Soft,1992.0,0.44
5099,Duke Nukem 64,Shooter,N64,GT Interactive,EurocoEntertainment Software,1997.0,0.44
5100,Dragon Ball FighterZ,Fighting,NS,Bandai Namco Entertainment,Arc System Works,2018.0,0.44
5101,Ben 10 Alien Force: Vilgax Attacks,Action,Wii,D3 Publisher,Papaya Studio Corporation,2009.0,0.44
5102,Superbrothers: Sword & Sworcery EP,Adventure,PC,Unknown,Capybara Games,2009.0,0.44
5103,SingStar Queen,Misc,PS3,Sony Computer Entertainment,SCEE London Studio,2009.0,0.44
5104,Tetris Axis,Puzzle,3DS,Nintendo,Hudson Soft,2011.0,0.44
5105,Story of Seasons,Misc,3DS,Xseed Games,Marvelous,2015.0,0.44
5106,"SpongeBob SquarePants: Lights, Camera, Pants!",Misc,GC,THQ,THQ Australia Studios Pty Ltd.,2005.0,0.44
5107,Madden NFL 12,Sports,Wii,EA Sports,EA Tiburon,2011.0,0.44
5108,Super Robot Taisen OG: Original Generations,Strategy,PS2,Banpresto,Banpresto,2007.0,0.44
5109,Army Men World War: Final Front,Action,PS,3DO,3DO,2001.0,0.44
5110,Samurai Warriors 3,Action,Wii,Nintendo,Omega Force,2010.0,0.44
5111,Spider-Man: Shattered Dimensions,Action,PS3,Activision,Beenox Studios,2010.0,0.44
5112,Yu-Gi-Oh! 5D's Tag Force 4,Strategy,PSP,Konami,Konami,2009.0,0.44
5113,Sid Meier's Civilization VI,Strategy,PC,2K Games,Firaxis Games,2016.0,0.44
5114,MX Unleashed,Racing,XB,THQ,Rainbow Studios,2004.0,0.44
5115,Puppy Luv: Spa and Resort,Simulation,DS,Activision,Humagade,2007.0,0.44
5116,Jikkyou Powerful Pro Yakyuu 9,Sports,PS2,Konami,Diamond Head,2002.0,0.44
5117,Grind Session,Sports,PS,Sony Computer Entertainment,Shaba Games,2000.0,0.44
5118,Naruto: Gekitou Ninja Taisen! 3,Fighting,GC,Tomy Corporation,Eighting/Raizing,2004.0,0.44
5119,Wario World,Platform,GC,Nintendo,"Treasure Co., Ltd.",2003.0,0.44
5120,Thrillville: Off the Rails,Strategy,Wii,LucasArts,Frontier Developments,2007.0,0.44
5121,2014 FIFA World Cup Brazil,Sports,X360,EA Sports,EA Canada,2014.0,0.44
5122,Crash: Mind Over Mutant,Platform,Wii,Activision,Radical Entertainment,2008.0,0.44
5123,Scooby-Doo! Mystery Mayhem,Action,GBA,THQ,Artificial Mind and Movement,2003.0,0.44
5124,Super Breakout,Puzzle,2600,Atari,Atari,1978.0,0.44
5125,Eternal Sonata,Role-Playing,PS3,Namco Bandai,Tri-Crescendo,2008.0,0.44
5126,ICEY,Action,PC,Unknown,FantaBlade Network,2008.0,0.44
5127,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Misc,PS2,Namco,Namco,2003.0,0.44
5128,Hyperdimension Neptunia,Role-Playing,PS3,NIS America,Compile Heart,2011.0,0.44
5129,Food Network: Cook or Be Cooked,Misc,Wii,Namco Bandai,Red Fly Studio,2009.0,0.44
5130,Walk it Out!,Sports,Wii,Konami,Konami,2010.0,0.44
5131,TimeSplitters 2,Shooter,GC,Eidos Interactive,Free Radical Design,2002.0,0.44
5132,Robert Ludlum's The Bourne Conspiracy,Action,X360,Sierra Entertainment,High Moon Studios,2008.0,0.44
5133,Battlebots: Design & Destroy,Action,GBA,Majesco,Cave Barn,2003.0,0.44
5134,Wheel of Fortune,Misc,DS,THQ,"Pipeworks Software, Inc.",2010.0,0.44
5135,Need for Speed: Shift 2 Unleashed,Racing,X360,Electronic Arts,Slightly Mad Studios,2011.0,0.44
5136,Eternal Darkness: Sanity's Requiem,Adventure,GC,Nintendo,Silicon Knights,2002.0,0.44
5137,Karaoke Revolution,Misc,Wii,Konami,Blitz Games,2009.0,0.44
5138,Star Wars The Clone Wars: Republic Heroes,Action,PS3,LucasArts,Krome Studios,2009.0,0.44
5139,Power Rangers: S.P.D.,Action,GBA,THQ,Natsume,2005.0,0.44
5140,Jump Start Pet Rescue,Misc,Wii,Knowledge Adventure,Knowledge Adventure Inc.,2009.0,0.44
5141,Child of Eden,Shooter,X360,Ubisoft,Q Entertainment,2011.0,0.44
5142,Naruto: Ultimate Ninja 3 (US sales),Fighting,PS2,Namco Bandai,CyberConnect2,2008.0,0.44
5143,The Darkness,Shooter,X360,2K Games,Starbreeze,2007.0,0.44
5144,Resistance: Burning Skies,Shooter,PSV,Sony Computer Entertainment,Nihilistic Software,2012.0,0.44
5145,SingStar Motown,Misc,PS2,Sony Computer Entertainment,SCEE London Studio,2009.0,0.44
5146,Naughty Bear,Action,PS3,505 Games,Artificial Mind and Movement,2010.0,0.44
5147,Metro: Last Light,Shooter,PS3,Deep Silver,4a-games,2013.0,0.44
5148,Neon Genesis Evangelion,Adventure,SAT,Sega,Gainax,1996.0,0.44
5149,Mobile Suit Gundam: One Year War,Action,PS2,Bandai,Namco,2005.0,0.44
5150,Tongari Boushi to Mahou no Otana,Simulation,DS,Konami,Konami,2010.0,0.44
5151,God Eater 2: Rage Burst,Role-Playing,PSV,Namco Bandai Games,Namco Bandai Games,2016.0,0.44
5152,NFL Blitz 20-03,Sports,PS2,Midway Games,Point of View,2002.0,0.44
5153,SpongeBob's Atlantis SquarePantis,Adventure,PS2,THQ,Blitz Games,2007.0,0.44
5154,Nicktoons: Attack of the Toybots,Platform,Wii,THQ,Blue Tongue Entertainment,2007.0,0.44
5155,LEGO DC Super-Villains,Action-Adventure,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,2018.0,0.44
5156,Remington Great American Bird Hunt,Sports,Wii,Mastiff,Kouyousha,2009.0,0.44
5157,Star Wars: Jedi Starfighter,Simulation,XB,LucasArts,Secret Level,2002.0,0.44
5158,Classic NES Series: Metroid,Adventure,GBA,Nintendo,Nintendo,2004.0,0.43
5159,Master of Illusion,Puzzle,DS,Nintendo,Tenyo,2007.0,0.43
5160,Primal,Action,PS2,Sony Computer Entertainment,SCEE Cambridge,2003.0,0.43
5161,Madden NFL 2002,Sports,N64,EA Sports,BudCat Games,2001.0,0.43
5162,Need for Speed Underground 2,Racing,GBA,Electronic Arts,Pocketeers,2004.0,0.43
5163,007: Quantum of Solace,Shooter,PS2,Activision,Treyarch,2008.0,0.43
5164,Skylanders Imaginators,Platform,PS4,Activision,Toys for Bob,2016.0,0.43
5165,Trials Fusion,Misc,PS4,Ubisoft,Unknown,2014.0,0.43
5166,Spec Ops: Covert Assault,Shooter,PS,Take-Two Interactive,Runecraft,2001.0,0.43
5167,Nicktoons Unite!,Action,GBA,THQ,Climax Group,2005.0,0.43
5168,SSX Tricky,Sports,XB,EA Sports BIG,EA Canada,2001.0,0.43
5169,A Story About My Uncle,Misc,PC,Coffee Stain Studios,Unknown,2014.0,0.43
5170,Skylanders: SuperChargers,Action-Adventure,PS3,Activision,Vicarious Visions,2015.0,0.43
5171,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,PS2,Buena Vista,Traveller's Tales,2005.0,0.43
5172,My Spanish Coach,Misc,DS,Ubisoft,Sensory Sweep Studios,2007.0,0.43
5173,Terra Incognita ~ Chapter One: The Descendant,Role-Playing,PC,Unknown,Back To Basics Gaming,2007.0,0.43
5174,NiGHTS into dreams...,Platform,SAT,Sega,Sonic Team,1996.0,0.43
5175,Dragon Ball Z: Shin Budokai - Another Road,Fighting,PSP,Atari,Dimps Corporation,2007.0,0.43
5176,Crash: Mind Over Mutant,Platform,PSP,Activision,Virtuos,2008.0,0.43
5177,NCAA Football 2004,Sports,XB,EA Sports,EA Tiburon,2003.0,0.43
5178,DanceStar Party,Misc,PS3,Sony Computer Entertainment,SCEE London Studio,2011.0,0.43
5179,Bionicle,Platform,PS2,Electronic Arts,Argonaut Games,2003.0,0.43
5180,MLB 2002,Sports,PS,Sony Computer Entertainment,989 Sports,2001.0,0.43
5181,MLB 14 The Show,Sports,PS3,Sony Computer Entertainment America,SCE San Diego Studio,2014.0,0.43
5182,TimeSplitters,Shooter,PS2,Eidos Interactive,Free Radical Design,2000.0,0.43
5183,Barnstorming,Action,2600,Activision,Activision,1982.0,0.43
5184,InuYasha: The Secret of the Cursed Mask,Role-Playing,PS2,Bandai,Kamui,2004.0,0.43
5185,Barbie: Groom and Glam Pups,Action,DS,THQ,THQ,2010.0,0.43
5186,The Powerpuff Girls: Him and Seek,Platform,GBA,BAM! Entertainment,Vicarious Visions,2002.0,0.43
5187,Mega Man Zero 2,Platform,GBA,Capcom,Inti Creates,2003.0,0.43
5188,Just Dance 2017,Music,WiiU,Ubisoft,Ubisoft Paris,2016.0,0.43
5189,Wonder Project J: Kikai no Shonen Pino,Simulation,SNES,Enix,Almanic Corp.,1994.0,0.43
5190,Evoland,Misc,PC,Shiro Games,Unknown,2013.0,0.43
5191,NBA 2K13,Sports,Wii,2K Sports,Visual Concepts,2012.0,0.43
5192,OkamiDen,Adventure,DS,Capcom,Capcom,2011.0,0.43
5193,The Fairly Odd Parents: Game Boy Advance Video Volume 1,Misc,GBA,Majesco,Majesco Games,2004.0,0.43
5194,Rocksmith 2014,Music,XOne,Ubisoft,Ubisoft San Francisco,2016.0,0.43
5195,TouchMaster 3,Puzzle,DS,Warner Bros. Interactive,Midway Studios San Diego,2009.0,0.43
5196,Dora the Explorer: Dora Puppy,Misc,DS,2K Play,Take-Two Interactive,2009.0,0.43
5197,Alpha Protocol,Role-Playing,PS3,Sega,Obsidian Entertainment,2010.0,0.43
5198,Ghostbusters: The Video Game,Action,PS2,Atari,Red Fly Studio,2009.0,0.43
5199,Hunter: The Reckoning Wayward,Action,PS2,VU Games,High Voltage Software,2003.0,0.43
5200,Mischief Makers,Platform,N64,Nintendo,"Treasure Co., Ltd.",1997.0,0.43
5201,WipEout 64,Racing,N64,Midway Games,Psygnosis,1998.0,0.43
5202,"Barbie: Jet, Set & Style!",Misc,DS,THQ,THQ,2011.0,0.43
5203,Castlevania: Dawn of Sorrow,Platform,DS,Konami,Konami,2005.0,0.43
5204,Deer Drive,Sports,DS,Mastiff,SCS Software,2010.0,0.43
5205,Petz Bunnyz,Simulation,DS,Ubisoft,Ubisoft,2008.0,0.43
5206,EyeToy: AntiGrav,Sports,PS2,Sony Computer Entertainment,Harmonix Music Systems,2004.0,0.43
5207,EverQuest Online Adventures,Role-Playing,PS2,Sony Online Entertainment,Sony Online Entertainment,2003.0,0.43
5208,NBA 2K18,Sports,NS,2K Sports,Visual Concepts,2017.0,0.43
5209,Asura's Wrath,Action,PS3,Capcom,CyberConnect2,2012.0,0.43
5210,Doom (2016),Shooter,NS,Bethesda Softworks,id Software,2017.0,0.43
5211,Cool Boarders,Sports,PS,Sony Computer Entertainment,UEP Systems,1996.0,0.43
5212,NHL 19,Sports,PS4,EA Sports,EA Canada,2018.0,0.43
5213,Mobile Suit Gundam: Zeonic Front,Simulation,PS2,Bandai,Sunrise Interactive,2002.0,0.43
5214,Tales of the World: Radiant Mythology,Role-Playing,PSP,Namco Bandai,Alfa System,2007.0,0.43
5215,Atelier Totori: The Adventurer of Arland,Role-Playing,PS3,NIS America,Gust,2011.0,0.43
5216,Monopoly,Misc,PS2,Electronic Arts,EA Bright Light,2008.0,0.43
5217,Dawn of Mana,Role-Playing,PS2,Square Enix,Square Enix,2007.0,0.43
5218,Disney Sing It,Misc,X360,Disney Interactive Studios,Zoe Mode,2008.0,0.43
5219,Petz: Horsez 2,Simulation,DS,Ubisoft,Ubisoft,2007.0,0.43
5220,Madden NFL 2003,Sports,GC,EA Sports,EA Tiburon,2002.0,0.43
5221,Backyard Baseball,Sports,GBA,Atari,Game Brains,2002.0,0.43
5222,Destiny: The Taken King,Shooter,PS3,Activision,Bungie,2015.0,0.43
5223,Midway Arcade Treasures,Misc,XB,Midway Games,Digital Eclipse,2003.0,0.43
5224,Sniper Elite III,Shooter,XOne,505 Games,Rebellion Developments,2014.0,0.43
5225,Def Jam Icon,Action,PS3,Electronic Arts,Unknown,2007.0,0.43
5226,DLC Quest,Action-Adventure,PC,Unknown,Going Loud Studios,2007.0,0.43
5227,Bakugan: Battle Brawlers,Action,PS2,Activision,MTO,2009.0,0.43
5228,NHL FaceOff 99,Sports,PS,989 Studios,Killer Game,1998.0,0.43
5229,SEGA Classics Collection,Misc,PS2,Sega,Sega,2005.0,0.43
5230,LEGO Marvel's Avengers,Action,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,2016.0,0.43
5231,Sin and Punishment: Star Successor,Shooter,Wii,Nintendo,"Treasure Co., Ltd.",2010.0,0.43
5232,Ben 10 Alien Force: Vilgax Attacks,Action,PSP,D3 Publisher,1st Playable Productions,2009.0,0.43
5233,Naruto: Ninja Council 3,Action,DS,D3 Publisher,Aspect,2007.0,0.42
5234,Bayonetta,Action,PC,Sega,Sega,2017.0,0.42
5235,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,Strategy,PSP,Banpresto,Banpresto,2011.0,0.42
5236,Neon Genesis Evangelion 2nd Impression,Role-Playing,SAT,Sega,Sega,1997.0,0.42
5237,NBA Street,Sports,GC,EA Sports BIG,NuFX,2002.0,0.42
5238,Hello Neighbor,Action,XOne,Gearbox Software,Dynamic Pixels,2017.0,0.42
5239,Juiced: Eliminator,Racing,PSP,THQ,Juice Games,2006.0,0.42
5240,The Legend of Spyro: The Eternal Night,Platform,PS2,Sierra Entertainment,Krome Studios,2007.0,0.42
5241,Mega Man Battle Network,Role-Playing,GBA,Capcom,Capcom,2001.0,0.42
5242,Pirates of the Caribbean: At World's End,Action,PSP,Disney Interactive Studios,Eurocom Entertainment Software,2007.0,0.42
5243,25 To Life,Shooter,PS2,Eidos Interactive,Avalanche Software / Ritual Entertainment,2006.0,0.42
5244,NHL 2K6,Sports,PS2,2K Sports,Kush Games,2005.0,0.42
5245,Saints Row IV: Re-Elected,Action,PS4,Deep Silver,Volition Inc.,2015.0,0.42
5246,Medal of Honor: Rising Sun,Shooter,GC,Electronic Arts,EA Los Angeles,2003.0,0.42
5247,2010 FIFA World Cup South Africa,Sports,Wii,EA Sports,EA Canada,2010.0,0.42
5248,The Sims,Simulation,XB,Electronic Arts,Maxis,2003.0,0.42
5249,Fossil Fighters: Frontier,Role-Playing,3DS,Nintendo,Spike Chunsoft,2015.0,0.42
