Rank,Name,Genre,Platform,Publisher,Developer_x,Year,Total_Sales
70,Gran Turismo 4,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2005.0,11.76
71,Animal Crossing: Wild World,Simulation,DS,Nintendo,Nintendo EAD,2005.0,11.75
72,The Legend of Zelda: Breath of the Wild,Action-Adventure,NS,Nintendo,Nintendo EPD,2017.0,11.68
73,Super Mario Land 2: 6 Golden Coins,Platform,GB,Nintendo,Nintendo R&D1,1992.0,11.18
74,Grand Theft Auto IV,Action,X360,Rockstar Games,Rockstar North,2008.0,11.09
75,Super Mario 64 DS,Platform,DS,Nintendo,Nintendo EAD,2004.0,11.06
76,Terraria,Platform,PC,Unknown,Re-Logic,2011.0,11.0
77,FIFA 17,Sports,PS4,Electronic Arts,EA Canada,2016.0,10.94
78,Gran Turismo,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1998.0,10.85
79,Call of Duty: Modern Warfare 2,Shooter,PS3,Activision,Infinity Ward,2009.0,10.61
80,Grand Theft Auto IV,Action,PS3,Rockstar Games,Rockstar North,2008.0,10.57
81,Super Mario All-Stars,Platform,SNES,Nintendo,Nintendo EAD,1993.0,10.55
82,Call of Duty: Ghosts,Shooter,X360,Activision,Infinity Ward,2013.0,10.41
83,Just Dance 3,Misc,Wii,Ubisoft,Ubisoft Paris,2011.0,10.14
84,Call of Duty: Ghosts,Shooter,PS3,Activision,Infinity Ward,2013.0,10.13
85,Horizon: Zero Dawn,Action,PS4,Sony Interactive Entertainment,Guerrilla Games,2017.0,10.0
86,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,NS,Nintendo,Game Freak,2018.0,10.0
87,RollerCoaster Tycoon 3,Strategy,PC,Atari,Frontier Developments,2004.0,10.0
88,Halo: Reach,Shooter,X360,Microsoft Game Studios,Bungie,2010.0,9.97
89,Portal,Shooter,PC,Valve Corporation,Valve Software,2008.0,9.97
90,Halo 4,Shooter,X360,Microsoft Studios,343 Industries,2012.0,9.96
91,Final Fantasy VII,Role-Playing,PS,Sony Computer Entertainment,SquareSoft,1997.0,9.9
92,Mario Kart 64,Racing,N64,Nintendo,Nintendo EAD,1997.0,9.87
93,StarCraft,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,1998.0,9.5
94,Super Smash Bros. for 3DS,Fighting,3DS,Nintendo,Bandai Namco Games,2014.0,9.45
95,Call of Duty 4: Modern Warfare,Shooter,X360,Activision,Infinity Ward,2007.0,9.41
96,Gran Turismo 2,Racing,PS,Sony Computer Entertainment,Polyphony Digital,1999.0,9.37
97,Wii Party,Misc,Wii,Nintendo,"Nd Cube Co., Ltd.",2010.0,9.32
98,Call of Duty: Black Ops IIII,Shooter,PS4,Activision,Treyarch,2018.0,9.32
99,Mario Party DS,Misc,DS,Nintendo,Hudson Soft,2007.0,9.31
100,Donkey Kong Country,Platform,SNES,Nintendo,Rare Ltd.,1994.0,9.3
101,FIFA 19,Sports,PS4,Electronic Arts,EA Sports,2018.0,9.15
102,Rust,Action-Adventure,PC,Facepunch Studios,Facepunch Studios,2018.0,9.15
103,Marvel's Spider-Man,Action-Adventure,PS4,Sony Interactive Entertainment,Insomniac Games,2018.0,9.0
104,Half-Life 2,Shooter,PC,VU Games,Valve Software,2004.0,8.88
105,The Elder Scrolls V: Skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2011.0,8.88
106,Mario Party 8,Misc,Wii,Nintendo,Hudson Soft,2007.0,8.85
107,Super Mario Kart,Racing,SNES,Nintendo,Nintendo EAD,1992.0,8.76
108,Grand Theft Auto V,Action,XOne,Rockstar Games,Rockstar North,2014.0,8.72
109,Uncharted 4: A Thief's End,Action,PS4,Sony Interactive Entertainment,Naughty Dog,2016.0,8.7
110,Final Fantasy VIII,Role-Playing,PS,Square EA,SquareSoft,1999.0,8.6
111,Final Fantasy X,Role-Playing,PS2,Square,SquareSoft,2001.0,8.6
112,Pokemon Black 2 and White 2,Role-Playing,DS,Nintendo,Game Freak,2012.0,8.52
113,Call of Duty: Infinite Warfare,Shooter,PS4,Activision,Infinity Ward,2016.0,8.48
114,Fallout 4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,2015.0,8.48
115,Mario Kart 8,Racing,WiiU,Nintendo,Nintendo,2014.0,8.42
116,Tekken 3,Fighting,PS,Namco,Namco,1998.0,8.3
117,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,3DS,Nintendo,Game Freak,2017.0,8.28
118,Splatoon 2,Shooter,NS,Nintendo,Nintendo EPD,2017.0,8.27
119,FIFA 16,Sports,PS4,EA Sports,EA Canada,2015.0,8.22
120,GoldenEye 007,Shooter,N64,Nintendo,Rare Ltd.,1997.0,8.09
121,Star Wars Battlefront (2015),Shooter,PS4,Electronic Arts,EA DICE,2015.0,8.03
122,FIFA 13,Sports,PS3,EA Sports,EA Canada,2012.0,8.01
123,Halo 2,Shooter,XB,Microsoft Game Studios,Bungie Studios,2004.0,8.0
124,The Sims 3,Simulation,PC,Electronic Arts,EA Redwood Shores,2009.0,7.96
125,Grand Theft Auto: Liberty City Stories,Action,PSP,Rockstar Games,Rockstar Leeds,2005.0,7.72
126,Pac-Man,Puzzle,2600,Atari,Atari,1982.0,7.7
127,Pokemon Platinum Version,Role-Playing,DS,Nintendo,Game Freak,2009.0,7.6
128,The Legend of Zelda: Ocarina of Time,Adventure,N64,Nintendo,Nintendo EAD,1998.0,7.6
129,Crash Bandicoot 2: Cortex Strikes Back,Platform,PS,Sony Computer Entertainment,Naughty Dog,1997.0,7.58
130,Call of Duty: Advanced Warfare,Shooter,PS4,Activision,Sledgehammer Games,2014.0,7.53
131,Call of Duty: World at War,Shooter,X360,Activision,Treyarch,2008.0,7.5
132,Super Mario Bros. 2,Platform,NES,Nintendo,Nintendo EAD,1988.0,7.46
133,Super Mario Galaxy 2,Platform,Wii,Nintendo,Nintendo EAD Tokyo,2010.0,7.41
134,Super Smash Bros. Melee,Fighting,GC,Nintendo,HAL Laboratory,2001.0,7.41
135,Call of Duty: Black Ops 3,Shooter,XOne,Activision,Treyarch,2015.0,7.37
136,Battlefield 3,Shooter,X360,Electronic Arts,Dice,2011.0,7.35
137,The Legend of Zelda: Twilight Princess,Adventure,Wii,Nintendo,Nintendo EAD,2006.0,7.26
138,Battlefield 1,Shooter,PS4,Electronic Arts,EA DICE,2016.0,7.26
139,Battlefield 3,Shooter,PS3,Electronic Arts,Dice,2011.0,7.21
140,Need for Speed Underground,Racing,PS2,Electronic Arts,EA Black Box,2003.0,7.2
141,The Binding of Isaac,Action,PC,Edmund McMillen,Edmund McMillen,2011.0,7.17
142,Crash Bandicoot 3: Warped,Platform,PS,Sony Computer Entertainment,Naughty Dog,1998.0,7.13
143,Pokemon Emerald Version,Role-Playing,GBA,Nintendo,Game Freak,2005.0,7.06
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,3DS,Nintendo,Level 5,2016.0,7.03
145,Need for Speed Underground 2,Racing,PS2,Electronic Arts,EA Black Box,2004.0,6.9
146,Just Dance 4,Music,Wii,Ubisoft,Ubisoft,2012.0,6.89
147,Mario Kart: Double Dash!!,Racing,GC,Nintendo,Nintendo EAD,2003.0,6.88
148,Uncharted 3: Drake's Deception,Action,PS3,Sony Computer Entertainment,Naughty Dog,2011.0,6.84
149,Medal of Honor: Frontline,Shooter,PS2,Electronic Arts,EA Los Angeles,2002.0,6.83
150,Crash Bandicoot,Platform,PS,Sony Computer Entertainment,Naughty Dog,1996.0,6.82
151,Zumba Fitness,Sports,Wii,Majesco,"Pipeworks Software, Inc.",2010.0,6.76
152,Uncharted 2: Among Thieves,Action,PS3,Sony Computer Entertainment,Naughty Dog,2009.0,6.74
153,Call of Duty 4: Modern Warfare,Shooter,PS3,Activision,Infinity Ward,2007.0,6.72
154,FIFA Soccer 12,Sports,PS3,EA Sports,EA Canada,2011.0,6.65
155,FIFA 14,Sports,PS3,EA Sports,EA Canada,2013.0,6.61
156,Red Dead Redemption,Action,PS3,Rockstar Games,Rockstar San Diego,2011.0,6.57
157,Donkey Kong Country Returns,Platform,Wii,Nintendo,Retro Studios,2010.0,6.53
158,The Legend of Zelda,Adventure,NES,Nintendo,Nintendo EAD,1987.0,6.51
159,Assassin's Creed III,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,2012.0,6.5
160,Guild Wars,Role-Playing,PC,NCSoft,ArenaNet,2005.0,6.5
161,Red Dead Redemption,Action,X360,Rockstar Games,Rockstar San Diego,2010.0,6.5
162,The Elder Scrolls V: Skyrim,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,2011.0,6.49
163,Final Fantasy XII,Role-Playing,PS2,Square Enix,Square Enix,2006.0,6.4
164,Tomodachi Life,Simulation,3DS,Nintendo,Nintendo,2014.0,6.4
165,Pokemon Crystal Version,Role-Playing,GBC,Nintendo,Game Freak,2001.0,6.39
166,Halo 3: ODST,Shooter,X360,Microsoft Game Studios,Bungie,2009.0,6.35
167,Minecraft,Misc,PS4,Sony Computer Entertainment,Mojang,2014.0,6.33
168,FIFA 15,Sports,PS4,EA Sports,EA Canada,2014.0,6.32
169,Kingdom Hearts,Role-Playing,PS2,Square EA,SquareSoft,2002.0,6.3
170,Street Fighter II: The World Warrior,Fighting,SNES,Capcom,Capcom,1992.0,6.3
171,The Last of Us,Action-Adventure,PS3,Sony Computer Entertainment America,Naughty Dog,2013.0,6.27
172,Driver,Action,PS,GT Interactive,Reflections Interactive,1999.0,6.27
173,Call of Duty: WWII,Shooter,XOne,Activision,Sledgehammer Games,2017.0,6.23
174,God of War (2018),Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,2018.0,6.15
175,Big Brain Academy,Misc,DS,Nintendo,Nintendo EAD,2006.0,6.15
176,Minecraft,Misc,PS3,Sony Computer Entertainment America,Mojang,2014.0,6.05
177,Metal Gear Solid 2: Sons of Liberty,Action,PS2,Konami,Konami Computer Entertainment Japan,2001.0,6.05
178,Metal Gear Solid,Action,PS,Konami,Konami Computer Entertainment Japan,1998.0,6.0
179,Myst,Adventure,PC,Broderbund,Cyan Worlds,1995.0,6.0
180,Sonic the Hedgehog 2,Platform,GEN,Sega,Sonic Team,1992.0,6.0
181,Metal Gear Solid 4: Guns of the Patriots,Action,PS3,Konami,Kojima Productions,2008.0,6.0
182,Euro Truck Simulator 2,Simulation,PC,SCS Software,SCS Software,2013.0,5.98
183,Mario Kart: Super Circuit,Racing,GBA,Nintendo,Intelligent Systems,2001.0,5.91
184,Super Mario Sunshine,Platform,GC,Nintendo,Nintendo EAD,2002.0,5.91
185,LittleBigPlanet,Platform,PS3,Sony Computer Entertainment,Media Molecule,2008.0,5.85
186,Age of Empires II: HD Edition,Strategy,PC,Microsoft Studios,Hidden Path Entertainment,2013.0,5.82
187,Super Mario 3D World,Platform,WiiU,Nintendo,Nintendo EAD Tokyo,2013.0,5.8
188,Link's Crossbow Training,Shooter,Wii,Nintendo,Nintendo EAD,2007.0,5.79
189,Red Dead Redemption 2,Action-Adventure,XOne,Rockstar Games,Rockstar Games,2018.0,5.77
190,New Super Mario Bros. U,Platform,WiiU,Nintendo,Nintendo EAD,2012.0,5.77
191,Destiny,Shooter,PS4,Activision,Bungie,2014.0,5.76
192,Luigi's Mansion: Dark Moon,Adventure,3DS,Nintendo,Next Level Games,2013.0,5.75
193,Tekken 2,Fighting,PS,Namco,Namco,1996.0,5.74
194,Uncharted: The Nathan Drake Collection,Action,PS4,Sony Computer Entertainment,Bluepoint Games,2015.0,5.7
195,Super Mario World: Super Mario Advance 2,Platform,GBA,Nintendo,Nintendo EAD,2002.0,5.69
196,LEGO Star Wars: The Complete Saga,Action,Wii,LucasArts,Traveller's Tales,2007.0,5.66
197,Cooking Mama,Simulation,DS,Majesco,Office Create,2006.0,5.66
198,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,3DS,Nintendo,GREZZO,2011.0,5.62
199,Tetris,Puzzle,NES,Nintendo,Nintendo,1989.0,5.58
200,Super Mario Advance,Platform,GBA,Nintendo,Nintendo EAD,2001.0,5.57
201,Assassin's Creed II,Action,PS3,Ubisoft,Ubisoft Montreal,2009.0,5.57
202,Super Smash Bros.,Fighting,N64,Nintendo,HAL Laboratory,1999.0,5.55
203,Assassin's Creed,Action,X360,Ubisoft,Ubisoft Montreal,2007.0,5.55
204,Batman: Arkham City,Action,PS3,Warner Bros. Interactive,Rocksteady Studios,2011.0,5.54
205,Forza Motorsport 3,Racing,X360,Microsoft Game Studios,Turn 10 Studios,2009.0,5.5
206,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,Nintendo,Level 5,2010.0,5.5
207,Final Fantasy IX,Role-Playing,PS,Square,SquareSoft,2000.0,5.5
208,Final Fantasy X-2,Role-Playing,PS2,Square Enix,Square Enix,2003.0,5.5
209,Tomb Raider (2013),Action,PC,Square Enix,Crystal Dynamics,2013.0,5.5
210,The Witcher 3: Wild Hunt,Role-Playing,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.48
211,Pokemon Stadium,Strategy,N64,Nintendo,HAL Laboratory,2000.0,5.46
212,Minecraft,Misc,XOne,Microsoft Studios,Mojang,2014.0,5.43
213,Call of Duty: World at War,Shooter,PS3,Activision,Treyarch,2008.0,5.43
214,Super Mario Advance 4: Super Mario Bros. 3,Platform,GBA,Nintendo,Nintendo EAD,2003.0,5.43
215,Crash Bandicoot: The Wrath of Cortex,Platform,PS2,Universal Interactive,Traveller's Tales,2001.0,5.42
216,The Witcher 3: Wild Hunt,Role-Playing,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.39
217,Final Fantasy XIII,Role-Playing,PS3,Square Enix,Square Enix,2010.0,5.35
218,Gran Turismo 5 Prologue,Racing,PS3,Sony Computer Entertainment,Polyphony Digital,2008.0,5.35
219,Super Smash Bros. for Wii U,Fighting,WiiU,Nintendo,Bandai Namco Games,2014.0,5.35
220,Dr. Mario,Puzzle,GB,Nintendo,Nintendo R&D1,1990.0,5.34
221,Assassin's Creed III,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,2012.0,5.31
222,Pokemon Pinball,Misc,GBC,Nintendo,Jupiter Corporation,1999.0,5.31
223,Assassin's Creed II,Action,X360,Ubisoft,Ubisoft Montreal,2009.0,5.3
224,Super Mario Party,Party,NS,Nintendo,"Nd Cube Co., Ltd.",2018.0,5.3
225,The Forest,Misc,PC,Endnight Games Ltd,Unknown,2014.0,5.3
226,Donkey Kong 64,Platform,N64,Nintendo,Rare Ltd.,1999.0,5.27
227,Just Dance 2,Misc,Wii,Ubisoft,Ubisoft Paris,2010.0,5.25
